"Entrez Gene ID","gene","Ctrl","Ctrl.1","MandIL4","MandIL4.1","MandIL4.2","MandLPSandIFNg","MandLPSandIFNg.1","MandLPSandIFNg.2"
"434423","Dppa5a",0,0,0,0,0,0,-1.6485,0
"13929","Amz2",6.0125,5.975,5.2022,6.7756,5.5051,6.4514,6.5509,6.6195
"14027","Evpl",0,0,0,0,0,0,0,0
"14700","Gng10",9.3366,9.0699,8.9886,10.0216,8.2962,7.6486,7.7314,7.8914
"15387","Hnrnpk",10.8201,9.794,10.5437,10.0087,9.5559,9.1572,10.4113,9.93
"16588","Kin",7.6434,8.2494,7.4565,7.6579,7.5303,8.6586,7.7265,7.106
"17089","Lyar",8.4526,8.6551,9.4328,9.503,9.8871,8.6198,8.2619,8.965
"19070","Mobkl3",9.4547,9.3014,9.3644,9.4515,8.841,9.1389,8.753,8.5333
"19240","Tmsb10",11.3817,11.8839,11.2652,11.8163,11.4329,11.7016,11.3604,11.9998
"20257","Stmn2",0,0,0,0,0,0,0,0
"20530","Slc31a2",6.6783,6.4101,6.7377,5.1917,6.4278,8.7161,8.8947,8.3764
"20747","Spop",11.286,10.9112,10.6006,10.0938,10.9987,11.5375,10.9747,11.7224
"20863","Stfa3",0,0,0,0,0,0,0,0
"21376","Tbrg1",6.5166,6.8891,5.1243,7.165,5.9179,6.1352,7.579,7.5695
"22092","Rsph1",0,0.1444,0,0,0,0,0,0
"24068","Sra1",5.5079,6.2283,6.4792,5.8601,6.4489,6.1852,6.7117,7.378
"24071","Synj2bp",10.7269,10.8107,9.8602,11.5579,10.2064,10.9952,10.1719,9.4359
"24083","Gm16515",5.5558,5.2161,0,5.0429,2.0961,3.8887,6.2615,5.0439
"26363","Btd",5.5815,2.3125,3.7549,0,4.3618,4.7447,4.3615,0
"26371","Ciao1",7.2744,6.8164,6.5111,6.7053,6.8622,7.4266,6.6003,6.1168
"26922","Mecr",3.4763,4.3615,4.7447,5.5133,5.0659,3.4066,0,4.0202
"27397","Mrpl17",7.305,5.9888,7.6623,7.3513,7.5367,6.1352,6.6945,6.5786
"27398","Mrpl2",7.2045,7.4018,7.3264,7.4481,7.3972,6.3461,6.8131,6.9562
"30949","Lcmt1",4.558,5.8718,4.8621,5.9618,5.2994,5.3758,5.5051,5.8601
"50529","Mrps7",5.4594,4.6629,1.5382,5.5133,5.2994,5.1449,4.9008,5.1013
"56095","Ftsj3",8.2023,8.9116,9.8639,8.4677,9.4926,8.9783,6.9511,8.4057
"66039","D14Ertd449e",2.866,4.6861,2.4041,3.2697,4.8738,4.6086,2.9263,3.9929
"66042","Sostdc1",0,0,0,0,0,0,0,0
"66043","Atp5d",7.0916,7.4227,7.0403,6.9322,7.8906,6.7446,6.9553,6.8462
"66044","Dtd1",4.558,3.5937,4.8621,0,5.0108,3.545,3.6319,6.1352
"108098","Med21",6.6313,7.8188,7.0701,7.5948,7.6762,5.3264,7.2764,7.2868
"66046","Ndufb5",8.0657,7.0753,7.845,7.0493,7.7103,7.1043,7.3693,5.5509
"66047","Mrpl54",6.5823,6.7856,6.8215,7.066,8.0032,6.4262,5.3264,5.9709
"66050","0610009B22Rik",4.7804,4.9743,5.8936,5.7469,3.6378,3.2672,4.3615,3.8601
"66052","Sdhc",9.0465,9.2924,9.072,9.8305,10.028,8.7025,8.9819,8.7659
"66055","0610009D07Rik",9.7113,8.7351,9.2283,9.9272,9.2207,9.2769,9.4709,9.4633
"66056","Zfp524",4.6043,5.7667,5.1661,3.5184,5.3703,3.9764,5.0067,4.6629
"107766","Haao",0,0.2568,0,0,0,0,0,0
"66058","Tmem176a",0.2044,4.7676,0,3.6765,0,0,5.2703,0
"66059","Krtcap2",6.5015,5.5255,5.57,7.1169,6.3876,5.9677,6.3259,5.9539
"66061","Tctex1d2",7.1022,6.7856,7.3383,7.1169,5.9179,6.1019,5.7438,5.4115
"66065","Hsd17b14",2.1412,0,0,0,0,0,0,0
"66066","Gng11",7.9111,8.685,8.1065,7.8858,8.8026,9.8341,10.1981,9.8052
"66067","Gtpbp8",4.1399,3.539,5.0276,4.8883,6.6667,6.1019,5.9674,5.3623
"66072","Sdhaf2",7.3972,7.2614,6.6631,5.4817,6.9849,7.3275,7.2052,6.5861
"66073","Txndc12",5.9097,6.8781,5.8936,4.2852,4.6731,6.0948,5.3964,4.8618
"66074","Tmem167",7.9883,8.7954,8.5808,8.6007,9.0351,8.8684,8.6471,8.8773
"66075","Chchd3",7.1944,6.7529,8.3727,7.2939,8.3744,6.9858,6.1151,6.972
"110198","Akr7a5",4.1908,3.2333,4.6843,4.2852,5.61,0,4.2935,2.2755
"66077","Aurkaip1",7.6962,7.0701,7.3861,6.8935,7.5485,7.2938,7.0018,7.6812
"66079","Tmem42",3.5745,2.1099,4.5618,3.6765,3.4737,1.0896,3.8795,5.8929
"106025","Sharpin",7.0619,6.7363,5.1243,7.6472,5.0659,6.5384,6.6339,6.8139
"66082","Abhd6",0,0,0,0,0,2.2129,3.1312,2.9158
"66084","Rmnd1",4.0065,6.2173,0,3.5184,6.0515,5.8133,6.5861,5.5962
"66085","Eif3f",7.6749,7.9633,7.9228,7.8858,7.5567,6.6801,7.2343,7.2508
"66086","0610037P05Rik",5.6064,6.8385,5.1661,5.7802,4.6731,5.6542,5.0888,6.3775
"66089","Rmnd5b",1.1528,2.6888,5.256,5.0874,4.8524,3.1271,2.1045,3.9532
"66090","Ypel3",8.1559,8.1821,6.3484,6.62,6.1389,4.9618,6.5264,6.5189
"66091","Ndufa3",8.4699,8.6369,9.2246,8.7426,8.2413,8.3249,7.3639,8.581
"66094","Lsm7",10.3539,9.8978,10.4625,11.1903,10.2488,8.9937,8.997,8.9055
"109697","Cpa1",0,0,0,0,0,0,0,0
"22272","Uqcrq",7.637,7.9703,8.1673,8.4172,7.9964,7.3708,7.5574,7.6665
"66104","Tceal6",0,0,0,0,0,0,0,0
"66105","Ube2d3",9.6214,8.9317,8.7002,8.9881,9.1154,9.0648,9.1009,9.2262
NA,"Smpx",0,0,0,0,0,0,0,0
"66108","Ndufa9",6.0222,5.4398,6.2422,4.3869,6.2863,5.2024,3.1312,5.7168
"66109","Tspan13",9.2227,9.165,6.5867,6.3874,7.193,8.4015,7.8906,8.0014
"66111","Tmed3",6.7405,7.108,7.9803,7.7547,7.6665,6.7261,6.2,6.1009
"66114","Dnajc30",4.7425,5.2556,7.0701,4.4816,6.7725,5.1179,5.1315,5.0104
"66117","1110001J03Rik",3.762,4.0272,3.1104,4.7764,5.1403,5.4593,0,4.7447
"66118","Sarnp",11.6915,11.4954,10.8455,12.0541,11.7016,11.134,9.8172,10.1468
"66119","Tomm6",7.3455,7.3532,6.8933,7.2505,7.6762,7.3427,6.4661,7.7456
"66121","Chchd1",7.0382,7.0126,7.22,8.6958,7.4631,7.1779,6.0147,6.0319
"66124","Josd2",4.8168,5.4847,5.7789,5.8851,4.0155,4.2419,4.3615,1.7835
"66129","1110018J18Rik",7.7485,7.8174,8.434,7.1233,7.7022,7.6457,7.263,7.7619
"109652","Acy1",2.1412,0.1559,1.1718,5.6518,0,0,0,0.6151
"66131","Tipin",6.9154,7.3516,6.6631,7.3635,7.014,5.0488,4.6247,5.5063
"66132","1110008L16Rik",0,0.04348,2.2627,0,4.4228,4.2419,4.2549,4.6939
"109801","Glo1",7.6499,7.9228,7.5908,7.7298,7.9111,7.0741,6.0085,7.2819
"66138","Wbscr22",5.9097,4.6966,3.8864,6.3874,6.3058,6.6627,5.6428,5.6923
"66140","Fam33a",7.3642,6.1873,6.3256,6.5827,6.0277,2.2129,5.0888,3.2672
"66141","Ifitm3",9.1428,7.8367,5.6451,4.8883,5.5409,9.9115,10.1774,10.3015
"66142","Cox7b",8.6571,8.9147,9.2128,8.8183,9.5263,8.8339,8.02,9.2262
"66143","Eef1e1",6.7912,6.5784,7.6499,8.02,7.3287,5.9536,4.9635,6.0041
"66144","Atp6v1f",9.533,9.2695,8.5772,9.2825,8.6857,8.9075,8.4404,8.6037
"66146","Tmem57",7.7519,8.0309,7.516,7.9127,8.0283,8.0137,7.5843,7.5414
"66147","Necap2",8.5942,8.3908,10.1065,8.5552,9.1248,8.8009,9.5887,9.274
"66148","Dnajc15",5.7667,5.9857,6.6248,6.3484,6.5116,4.2805,6.0559,5.8929
"66151","Prr13",10.1637,10.5205,9.8059,9.9295,10.9138,10.7501,10.2097,10.32
"66153","Fbxo36",2.8555,0.02543,0,4.6362,0,0.5449,-1.2623,-1.1416
"66154","Tmem14c",7.793,7.3776,7.7959,8.1085,7.8636,7.5235,8.1477,7.1655
"66155","Ufc1",6.1204,6.5856,6.4792,5.9102,6.5285,6.4514,6.4332,6.4367
"66161","Pop4",5.991,6.6119,7.5712,6.3874,6.6818,6.7374,6.7719,6.0805
"66165","Bccip",8.4457,8.1442,8.6172,8.897,7.9152,8.4308,8.8514,8.2665
"66169","Tomm7",7.4147,8.0444,7.3803,8.02,8.5966,6.9209,7.4789,7.3063
"66170","Chchd5",4.1399,5.0804,6.1312,4.6966,6.0796,5.2024,2.1045,5.6192
"66171","Pgls",7.9825,7.4707,7.7404,7.4481,7.2639,7.407,6.7537,4.9368
"66172","Med11",5.3768,5.4159,4.1228,4.6362,4.3618,6.2838,6.3478,6.1009
"66174","Nudt14",4.1908,4.8406,4.624,4.9936,0,4.2805,3.3844,0.748
"66176","Nat9",5.5079,6.3612,5.1815,7.0289,5.9179,5.9536,7.294,6.5532
"66177","Ubl5",7.8708,8.1254,6.9086,7.0126,7.919,7.5547,7.2764,7.0028
"66179","1110031I02Rik",3.2558,1.7339,3.1104,3.6765,2.5988,3.6405,4.1834,0
"66181","Nop10",10.538,10.0613,10.4455,11.1762,10.4985,9.5495,8.7082,9.1927
"80981","Arl4d",3.5745,1.8422,1.8069,4.4816,0,3.2672,5.4112,3.5376
"22273","Uqcrc1",4.9733,5.5345,6.5248,6.3583,6.2191,5.7723,4.4602,5.6489
"66190","Acer3",10.2097,10.0524,9.7401,10.4455,10.2297,9.6452,9.4447,9.301
"66191","Ier3ip1",9.0582,9.1778,8.9471,8.6446,9.6777,9.9731,8.5331,9.1083
"66192","Lage3",5.6735,6.4609,6.8382,6.8131,5.2994,5.5392,6.1573,6.6195
"66193","1110049F12Rik",5.3768,5.7177,4.196,4.8298,5.6625,4.5345,6.1685,4.1712
"66194","Pycrl",1.5758,3.7747,5.0276,2.7323,5.7204,2.5533,4.6247,0
"66195","Lce1g",0,0,0,0,0,0,0,0
"66196","Myo19",0,0.04348,0,0,0,0,1.4807,0
"66197","Cks2",9.9373,10.2124,9.3754,10.2962,9.2141,7.9223,8.2033,8.3744
"66198","Them5",0,0,0,0,0,0,0,0
"66199","Commd4",5.4061,6.1358,4.9192,5.5133,5.8704,4.9618,2.9263,3.5376
"66201","Vta1",6.5015,5.6567,6.5731,6.0092,6.0277,5.9109,6.9254,6.3775
"66202","1110059G10Rik",8.426,8.1788,7.104,7.9127,6.7783,8.0679,7.7383,7.378
"66203","Lce1m",0,0,0,0,0,0,0,0
"66204","Acyp1",4.9008,4.9743,5.0276,5.5818,6.4982,2.9106,5.1649,0
"66205","Cd302",7.7333,6.7095,3.2769,4.8883,6.0277,7.3708,6.726,7.5093
"66206","1110059E24Rik",6.0314,2.6888,5.3611,6.8131,6.8486,4.6629,3.9627,5.8755
"66208","Nenf",7.2342,6.6884,5.6822,7.6579,7.432,6.4747,6.9511,6.0319
"66214","1190002H23Rik",4.2551,0.2568,6.2422,5.6212,1.8422,5.4368,4.5888,4.9008
"66222","Serpinb1a",4.3615,4.0272,5.0763,6.5001,5.8415,0,0,1.6824
"66223","Mrpl35",6.5015,6.799,6.5867,5.3075,5.5409,7.7673,6.1058,5.8755
"66225","Llph",9.2085,8.9833,10.0972,8.5591,9.2152,8.3529,10.0736,9.2466
"66226","Trappc2",7.322,7.179,7.3575,7.7404,7.2254,6.7004,7.0155,6.0207
"66229","Rpl7l1",8.1721,8.3517,8.7315,8.9937,8.9322,9.0707,7.2764,8.4552
"66230","Mrps28",3.5745,4.5133,5.7466,2.7323,4.4228,4.0382,3.9627,0.6151
"66231","Thoc7",6.8811,6.9325,5.9489,7.6661,5.9509,6.7642,6.9181,7.1584
"66234","Sc4mol",9.2815,8.7943,8.2187,9.3706,9.1613,7.2342,7.9823,7.7426
"66235","Eif1ax",8.0765,7.2146,8.5149,7.9903,7.8772,6.9776,7.1019,6.5068
"208606","Rsrc2",9.1171,8.9084,9.8775,8.5305,9.0795,10.0919,9.4323,9.2557
"66242","Mrps16",6.7257,7.1057,7.509,7.8959,7.5485,7.2893,7.1655,6.4222
"66244","Sdccag1",9.5934,9.7593,10.5034,9.4829,9.825,10.0724,9.5127,10.02
"66248","Alg5",5.6735,5.1992,6.0024,4.9432,6.5856,5.1179,5.3722,5.1983
"66249","Pno1",6.4222,5.791,6.7926,6.868,6.8905,5.4061,6.973,6.5269
"99730","Taf13",6.5823,5.8209,6.0961,6.2422,5.2597,5.9536,6.7029,6.4114
"66251","Arfgap3",6.5437,6.2731,5.812,7.0222,4.0155,6.1984,4.7447,6.1009
