"Entrez Gene ID","gene","X0h_1","X0h_2","X0h_3","X0h_4","X4h_1","X4h_2","X4h_3","X4h_4","X8h_1","X8h_2","X8h_3","X8h_4","X16h_1","X16h_2","X16h_3","X16h_4","X24h_1","X24h_2","X24h_3","X24h_4"
"22436","Xdh",43.27650313,43.60088747,49.31975848,44.33507443,54.01292995,50.49696303,54.59851502,53.30915932,54.12456972,50.73438998,50.71238183,46.26186227,41.61557788,34.23221767,37.17428064,42.91229839,48.75575356,43.28296045,49.0679446,35.75136403
"66310","Dpy30",28.63699718,24.88694371,23.0756107,24.96472343,34.83007356,40.00150224,37.32444667,39.81639734,20.09787647,17.5589457,22.69727562,22.42091297,29.07127962,33.93185767,32.81250842,25.1501712,30.8623577,34.93767521,26.94950827,36.77889555
"50850","Spast",6.825347847,6.642536236,6.85629637,6.865460615,5.159371709,5.53924253,5.760483553,5.831226423,4.484080527,5.156639463,4.70174427,5.033837592,4.851014258,4.66973554,4.878923059,5.741301584,5.036993281,5.150685091,5.523109237,5.965746352
"210148","Slc30a6",6.06966985,5.985814448,6.196741227,5.98009846,15.0937407,16.83269302,15.84494792,15.24851356,14.7765239,13.78591568,15.68670204,16.17296445,10.80521687,11.72211601,11.72710072,10.45620525,7.692291417,8.868613478,7.746365213,8.17974846
"75292","Prkd3",3.906571966,4.125698471,4.316395819,3.544043617,2.382270829,2.904560072,2.757115868,2.681180534,0.977448438,1.191079402,1.016546145,0.954171495,2.145215768,2.399447318,2.275650401,2.155311206,2.857723513,3.058076176,2.853136266,2.223301782
"67864","Yipf4",22.54816066,21.59429939,22.01700347,22.18403647,19.17841448,21.51214904,22.66926975,20.68140795,19.21491311,19.14209346,21.8087145,19.85087421,20.04184957,22.78524509,21.36639115,24.00337219,27.32565138,27.74507817,26.04696803,33.89201173
"12211","Birc6",1.764821708,2.02606847,2.209715092,1.782073474,2.49989078,2.286175562,2.541535222,2.506149416,2.898075749,3.024421076,2.309577361,2.283526653,2.254681901,1.652874557,1.672930843,2.118295956,1.952854059,1.789931373,2.2997331,1.095636608
"50766","Crim1",1.410943817,1.445791646,1.664656624,1.57096664,2.662153394,2.523163309,2.613576417,2.599797689,1.057036106,0.878107804,0.972247904,0.907892746,0.942122414,0.697435794,0.776237752,0.841892657,0.774045041,0.710077812,0.958518987,0.544767656
"268980","Strn",3.688116413,3.782238453,3.940748455,3.621995794,2.980223762,2.846559728,3.243857899,3.026165778,3.000180006,3.267167524,2.783996368,2.721360313,2.642574076,1.97965386,2.056298149,2.691235488,2.300990064,2.022228072,2.62306676,1.574626115
"74196","Ttc27",6.044459963,5.810936803,5.178649712,4.749031782,11.25612886,12.08349565,11.6090158,11.27435202,4.609387187,4.53940799,4.473337725,4.654891478,6.075297547,6.922074245,6.214069261,5.052973632,4.291003594,5.114910382,4.092016901,3.836253351
"19106","Eif2ak2",9.839411702,10.82736063,12.06001284,9.365263047,53.77168968,54.54619798,57.20186597,54.04752675,19.98459916,18.42701895,19.16764834,18.58710226,15.94854558,15.09776023,14.37007434,16.85909776,13.58943943,14.6450366,15.61805758,9.883849698
"12607","Cebpz",4.887461232,4.696659458,4.379164261,4.59978958,3.315193856,3.19092107,3.650956283,2.994004062,2.705594314,3.718897002,3.774293319,3.850790284,4.504124204,4.307377238,4.031019206,3.849132729,3.41708396,4.102904193,3.31157661,2.889244819
"73694","Ndufaf7",6.258035885,5.753576984,4.987043875,5.42293271,2.709481568,3.275811962,3.045449059,2.923140943,1.317580596,1.354769789,1.410064023,1.621913407,5.875013012,6.92062906,6.01036387,5.162891056,6.722400589,7.885471138,6.671803535,9.239801582
"224938","Pja2",10.34822926,10.44322887,11.11236028,10.16067265,11.12630075,12.23611038,12.77682382,11.79558973,10.54041205,11.6044427,11.41248989,10.78195167,9.243905926,10.72732148,10.35062701,10.5068406,12.6257601,11.83987338,12.7983732,9.908030582
"70536","Qpct",27.99504135,26.51790863,26.37052301,22.60329837,35.88375835,44.85579641,44.58637075,44.30280257,30.59622109,30.35736252,33.56898606,31.54785959,13.49706791,18.61118788,17.87355936,14.93426314,13.33276549,15.08853839,12.2306707,12.03240194
"17158","Man2a1",15.94810942,15.5443182,17.99264098,14.93129144,18.8685799,18.26242409,19.92108129,19.24640434,12.63624141,13.85644022,11.89295968,12.20623445,12.15323856,10.20181272,10.05565792,13.01319397,10.59375475,10.73276271,12.44357756,7.97857001
"30960","Vapa",53.11850214,50.97538854,49.42202563,52.85881118,89.70501456,97.16593368,100.1406439,95.64492224,83.73396578,80.87413362,87.8440308,86.87423134,61.34764142,59.87825231,62.80087268,67.2189446,84.68504674,73.79830036,78.26544487,108.5515817
"72692","Hnrnpll",3.54109034,3.429238438,3.449867118,3.262250519,7.047935317,8.003284049,7.778775783,7.388175033,3.819341315,3.703343277,3.719888906,3.872861698,3.710423798,4.239064673,4.242274896,3.864937875,5.862478945,4.982260732,4.937106559,5.867558863
"19765","Ralbp1",18.57974472,18.78845502,19.29747754,18.38876981,11.37940078,9.866559352,10.45979573,10.42980953,12.10792563,12.1791554,12.02412256,11.91235534,13.29815386,12.46946139,12.62275586,12.78540043,14.80315283,14.52560943,15.49253298,14.36906507
"225027","Srsf7",14.9637583,13.97533846,11.61269883,10.64301167,51.02334838,61.25183092,56.19341426,56.92884897,23.60702365,24.16941477,26.15994702,26.13024195,19.81530876,21.48984516,20.31975181,17.65010254,13.62843202,15.60571771,12.0658277,14.50199493
"65960","Twsg1",6.715292825,6.87441126,6.142426118,5.917522239,7.454685336,7.721219871,8.153308465,8.349521964,4.224262843,4.347582745,4.668196829,4.147805021,5.695486258,5.660552242,5.977627083,7.107512947,7.558106583,8.098502376,8.996187195,7.365589259
"72900","Ndufv2",33.4423979,33.41485788,31.43488398,34.65959661,41.1249787,49.15646907,43.55409302,44.60307213,43.97859223,37.7124378,43.66239356,47.00590314,40.17003244,48.64445441,46.57397552,38.03202115,44.16775399,43.67275894,37.89188562,62.4405065
"68767","Wash1",16.29419743,17.56695,16.72148158,16.61716031,8.208810058,7.29130535,7.848172898,8.002426183,16.23564723,15.27342095,16.1596444,15.89123434,13.95087537,14.89692066,14.55762893,13.4317509,13.91312265,12.57776253,12.01194349,15.75656864
"28006","Fam21",11.25906078,11.15826823,11.88468691,11.7467487,5.850214887,5.106132397,5.312797433,5.393355657,5.986667482,6.76925501,5.726771979,5.803559936,7.441605344,6.219827795,6.119923265,7.563887971,7.686296049,7.475361166,8.459936396,7.032790848
"72016","1600002H07Rik",2.005009105,2.239715047,2.234247524,2.214174176,0.439276139,0.367187513,0.602323258,0.378860967,1.333334917,1.45962303,1.360023656,1.464236212,1.353026321,1.100831054,1.37132764,1.444763107,1.776123894,1.597280743,1.671068594,2.04704406
"72416","Lrpprc",5.026743763,4.874572072,4.862268831,4.858999604,4.782648598,4.498190575,4.469134039,4.589083586,2.602288696,2.759981097,2.611040713,2.677773504,3.539239377,3.164274255,3.077627415,3.166267591,2.245467004,2.489113307,2.366855555,2.652281072
"11984","Atp6v0c",32.3225052,33.29721392,35.19486105,36.61067891,37.11259879,31.44686352,31.91985134,32.13505473,53.5634814,54.54195073,56.73691549,49.1428499,54.57753565,54.68910747,51.25426607,53.91156587,57.44394989,50.8990518,52.41916102,53.71357876
